department_name,department_url,department_course_num,department_course_name,department_course_credit_type,department_course_url
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 457,ENTREPRENEURIAL FIN,,https://www.washington.edu/students/crscat/finance.html#fin457
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 458,MERGERS & ACQUIST,,https://www.washington.edu/students/crscat/finance.html#fin458
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 459,VENTURE INVESTING,,https://www.washington.edu/students/crscat/finance.html#fin459
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 461,FIN FUT & OPT MKTS,,https://www.washington.edu/students/crscat/finance.html#fin461
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 466,ALTRNTV INVESTMENTS,,https://www.washington.edu/students/crscat/finance.html#fin466
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 490,SPECIAL TOPIC-FIN,,https://www.washington.edu/students/crscat/finance.html#fin490
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 499,UNDERGRAD RESEARCH,,https://www.washington.edu/students/crscat/finance.html#fin499
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 502,BUSINESS FINANCE,,https://www.washington.edu/students/crscat/finance.html#fin502
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 557,ENTREPRENEURIAL FIN,,https://www.washington.edu/students/crscat/finance.html#fin557
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,14901,CSE2,,https://www.washington.edu/students/maps/map.cgi?CSE2
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 558,MERGERS & ACQUIST,,https://www.washington.edu/students/crscat/finance.html#fin558
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 561,FIN FUT & OPT MKTS,,https://www.washington.edu/students/crscat/finance.html#fin561
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 566,ALTRNTV INVESTMENTS,,https://www.washington.edu/students/crscat/finance.html#fin566
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 579,SPECIAL TOPICS,,https://www.washington.edu/students/crscat/finance.html#fin579
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 580,DOC SEM IN FIN ECON,,https://www.washington.edu/students/crscat/finance.html#fin580
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 591,CORPORATE FINANCE,,https://www.washington.edu/students/crscat/finance.html#fin591
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 599,DOCTORAL SMNR-FIN,,https://www.washington.edu/students/crscat/finance.html#fin599
Finance (FIN),https://www.washington.edu/students/timeschd/WIN2021/finance.html,FIN 600,INDEPNDNT STDY/RSCH,,https://www.washington.edu/students/crscat/finance.html#fin600
Human Resources Management and Organizational Behavior (HRMOB),https://www.washington.edu/students/timeschd/WIN2021/hrmob.html,,,,
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 300,INTRO TO INFO SYS,,https://www.washington.edu/students/crscat/infosys.html#is300
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 320,FUND OF APPLIC PROG,,https://www.washington.edu/students/crscat/infosys.html#is320
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 410,NTWRKS CYBRSCRTY,,https://www.washington.edu/students/crscat/infosys.html#is410
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 445,DATABASE,,https://www.washington.edu/students/crscat/infosys.html#is445
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 451,BUS DATA ANALYTICS,,https://www.washington.edu/students/crscat/infosys.html#is451
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 460,SYS ANLYS & DESGN,,https://www.washington.edu/students/crscat/infosys.html#is460
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 499,UNDERGRAD RESEARCH,,https://www.washington.edu/students/crscat/infosys.html#is499
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 580,ADV RSRCH TOPICS I,,https://www.washington.edu/students/crscat/infosys.html#is580
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 599,DOC SEM IN INFO SYS,,https://www.washington.edu/students/crscat/infosys.html#is599
Information Systems (I S),https://www.washington.edu/students/timeschd/WIN2021/infosys.html,I S 600,INDEPNDNT STDY/RSCH,,https://www.washington.edu/students/crscat/infosys.html#is600
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,MSIS 522,ADV DATA MINING,,https://www.washington.edu/students/crscat/msis.html#msis522
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,MSIS 523,SECURITY POLICY,,https://www.washington.edu/students/crscat/msis.html#msis523
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,MSIS 524,IT PROJECTS,,https://www.washington.edu/students/crscat/msis.html#msis524
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,MSIS 547,CLOUD COMPUTING,,https://www.washington.edu/students/crscat/msis.html#msis547
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,MSIS 550,MSIS LEADERSHIP,,https://www.washington.edu/students/crscat/msis.html#msis550
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,17634,PCAR,,https://www.washington.edu/students/maps/map.cgi?PCAR
Information Systems Master of Science (MSIS),https://www.washington.edu/students/timeschd/WIN2021/msis.html,17635,PCAR,,https://www.washington.edu/students/maps/map.cgi?PCAR
International Business (I BUS),https://www.washington.edu/students/timeschd/WIN2021/intlbus.html,I BUS 300,INTRO GLOBAL BUS,,https://www.washington.edu/students/crscat/intlbus.html#ibus300
International Business (I BUS),https://www.washington.edu/students/timeschd/WIN2021/intlbus.html,I BUS 330,GLOBAL EMERGE MKTS,,https://www.washington.edu/students/crscat/intlbus.html#ibus330
International Business (I BUS),https://www.washington.edu/students/timeschd/WIN2021/intlbus.html,I BUS 490,SPEC TPCS IN I BUS,,https://www.washington.edu/students/crscat/intlbus.html#ibus490
International Business (I BUS),https://www.washington.edu/students/timeschd/WIN2021/intlbus.html,I BUS 491,CISB SEMINAR,,https://www.washington.edu/students/crscat/intlbus.html#ibus491
International Business (I BUS),https://www.washington.edu/students/timeschd/WIN2021/intlbus.html,I BUS 496,GLOBAL BUS CONSULT,,https://www.washington.edu/students/crscat/intlbus.html#ibus496
International Business (I BUS),https://www.washington.edu/students/timeschd/WIN2021/intlbus.html,I BUS 570,INTL STUDY TOUR,,https://www.washington.edu/students/crscat/intlbus.html#ibus570
